,MEBT:XCB5:CUR,MEBT:YCB5:CUR,MEBT:Q6:CUR,MEBT:Q7:CUR,MEBT:YCB7A:CUR,MEBT:YCB7B:CUR,MEBT:Q8:CUR,MEBT:Q9:CUR,MEBT:XCB9:CUR,MEBT:YCB9:CUR,MEBT:Q10:CUR,MEBT:Q11:CUR,MEBT:YCB11:CUR,MEBT:Q12:CUR,MEBT:XCB12:CUR,MEBT:Q13:CUR
30,0.05613056138384086,0.18305873731639388,0.2585396804244676,0.2944932789726023,0.263768088617148,0.3277892139085578,0.09166275506170753,0.3606365273194087,0.14510940262800215,0.27756535042883046,0.29203586826271194,0.051232164777948286,0.3810584046527248,0.35294907857932983,0.34819571752445244,0.4413738902426441
31,0.056301453345619014,0.19153087583055264,0.26013586621798096,0.2905423932175197,0.2604717676916227,0.3280258416067104,0.09381212175824892,0.36228535029702175,0.14825121217322434,0.2717092066634424,0.2946156986521886,0.05032745965407291,0.38264250263019745,0.3557435257660928,0.3489130245625907,0.4427794785004079
32,0.05716306417253254,0.14701501756686133,0.2642586077078964,0.3009963500336181,0.27525845163135476,0.35887125196695546,0.08538661918475753,0.36250290023865545,0.14592499162596168,0.2706340787081027,0.28233551433383935,0.053075908421174885,0.3834572528150054,0.36635261763191496,0.35485137351755464,0.45068418340338123
33,0.05767816200179073,0.12723732793627232,0.2808312492459034,0.30865506424745615,0.280155829476115,0.37895985490391665,0.07986865689390499,0.36314926733148817,0.14455621553583378,0.2665018045040329,0.27567553473596246,0.05552710074047846,0.38055867186828757,0.3666720059412002,0.3584641089107578,0.45746437996439343
34,0.05764234683614375,0.11760296015132617,0.281565351532789,0.30710394927522533,0.2798022757363371,0.4142838174041243,0.07697268614011969,0.3644518112774988,0.1435888409313657,0.2576955271613544,0.29271434703963906,0.0566618073806219,0.3892584357444744,0.3651480145263577,0.3603262334361085,0.4587579792724454
35,0.057407535061276306,0.10753859176858467,0.3108399648502693,0.3147775207713416,0.2870577061860385,0.42423227190794793,0.07340848806971652,0.36540934189600405,0.14180211402793672,0.26444842568314514,0.28055306191817125,0.0592689989430083,0.4027243063611667,0.3623697115307075,0.37849681518664785,0.4672726863765132
36,0.05175696550372305,0.09171193506181677,0.36776120953858144,0.31243914362066877,0.2771955391687464,0.454475870981656,0.06622270415846519,0.37151669669008136,0.13015249875488277,0.2546585851788989,0.4069448946713484,0.06529228426093557,0.42478792236222856,0.3312036486535718,0.3978744627941427,0.45820189304724274
37,0.05659560340037664,0.12359444688563533,0.36106420780730863,0.18573767947727476,0.27789253236893396,0.4156231093555086,0.07772402587758642,0.3619370144528212,0.17793173111948798,0.2400938907303669,0.44569893922346454,0.049740498855143186,0.4295672727257879,0.37796142769616864,0.38301040467784536,0.45027851829697235
38,0.052812827809629564,0.20394429116317228,0.3797912963150191,0.11948450016044665,0.2683951836815435,0.37562017788488355,0.08811652679848062,0.362321364866647,0.2787325055067955,0.21783503997063694,0.48954550063334756,0.03855697712640913,0.4366691600089223,0.4179653769485314,0.3683906239383454,0.42878454177375325
39,0.05628870826403475,0.1573936612210728,0.35958305975482363,0.14210104896189568,0.2710173698912801,0.38793877556738154,0.08722714459711632,0.3281591713295244,0.19174643832450225,0.2495260233490627,0.4510519795026752,0.045187145257945524,0.4370341031719336,0.3964810365862225,0.3442430077507064,0.4354374065315865
40,0.05621822844533698,0.15813232364179985,0.35940844344752215,0.14223308076984847,0.26846690066740914,0.389590395560055,0.0874290770491082,0.3186422680736076,0.19272788167280824,0.24445795406754187,0.44798479818339176,0.04492475736970488,0.43929707824713043,0.39641286017681465,0.33940404572618993,0.43669476576840566
41,0.055789592467700246,0.15808457198657208,0.3709806518685344,0.1360669873648925,0.2701628306594542,0.39345225513935994,0.08658708446924479,0.31295818729249375,0.19731146582303444,0.2410940515458462,0.4638653194064648,0.04419921348251664,0.44865756922939376,0.4038728309237189,0.33342820035699755,0.4476038752628199
42,0.05532331443454216,0.15795588840667532,0.3722629100218298,0.13067988896620425,0.26851343722882987,0.3990456813020974,0.08566374418595354,0.3284942757407835,0.20503089992365434,0.23675425093330538,0.4726729001177098,0.04343621206347868,0.4482027137252425,0.41835535365576826,0.3211824842252404,0.4477068492840104
43,0.054347950866323165,0.16795891537497654,0.37328404299048734,0.12521105881553102,0.26487079424757964,0.39532177812569463,0.08646397297312826,0.3265402641079821,0.25689362372463154,0.22385556087309666,0.47026348602124207,0.040826737193118724,0.44980380451639745,0.42786244600688644,0.31613962225114484,0.446959025756317
44,0.05344520999761843,0.1803042327626402,0.38117355366326855,0.13343302611774166,0.2615660470188198,0.39090444104185124,0.09042141318280651,0.33561790237036254,0.18179377854059942,0.23453012380283425,0.4880668207237845,0.04258690867391607,0.44513858740076806,0.43595751437807906,0.2097742064439407,0.4525764386156886
45,0.05622726768524243,0.16847189022577014,0.34536691369075273,0.1598167690314416,0.26705520073458794,0.38286314948200095,0.08757683254797413,0.3193274169545681,0.16478321419198164,0.24968282024206398,0.4840701688630487,0.046808371072514336,0.43817790696346526,0.41949926907897095,0.2877331211851939,0.45725110115146367
46,0.05424013747032696,0.16890314353680122,0.38630488086780007,0.13972363793584933,0.26339245202422124,0.3788334534746558,0.08849341163824048,0.26945824820022024,0.1828890681207457,0.2404060758369727,0.5016101067258636,0.044083647875421086,0.44795621587073875,0.4425544901557977,0.22743458712725684,0.4586827526786115
47,0.045470463867736254,0.14653876979193572,0.4085105104049935,0.10103734484133367,0.27061998945445387,0.4235939504247034,0.07902293752475294,0.13495820655240015,0.3587377211475164,0.18397962412130398,0.5591598067778949,0.03769770941187017,0.47632040741049414,0.5191417472663733,0.23404354944479389,0.4583469343193885
48,0.05358144331942355,0.16570557146135714,0.4099959134319474,0.14254562716933034,0.26394844049634286,0.3913508427911938,0.08782895418024249,0.36588775449655536,0.15177223163489417,0.2579841266274708,0.5037520697887797,0.04670400325525534,0.4550442979937213,0.44657945025139745,0.19265392527171638,0.4695908259863734
49,0.05356846604716364,0.14946632089077785,0.4167575251650295,0.13786279082561503,0.26877966039732737,0.4049978533671891,0.08721680182302406,0.3642658430313395,0.15446460212820684,0.2586820146756492,0.5124582263667099,0.047249328867469756,0.45762333793299764,0.4480414626292112,0.18993294712629824,0.4777876723727846
