,MEBT:Q6:CUR,MEBT:Q7:CUR,MEBT:Q8:CUR,MEBT:Q9:CUR,MEBT:Q10:CUR,MEBT:Q11:CUR,MEBT:Q12:CUR,MEBT:Q13:CUR
20,0.3772128411463984,0.3749544942550092,0.28408851472222557,0.20722806428387286,0.27463903329669515,0.36090570137671296,0.4157702893571472,0.5501801142765255
21,0.351852426497286,0.3705433250113402,0.27649570244063437,0.19826288129565156,0.23592015937321925,0.37573062938887325,0.42261927689840173,0.5668300481554036
22,0.31818978776699697,0.35676117941977187,0.28481772276410866,0.187383871871315,0.20235503310439149,0.3417803953802674,0.42075793551637386,0.5445912759020379
23,0.27790038687132246,0.3350042466897051,0.3015480596575294,0.16264376073212278,0.16540838344891765,0.28812529332293996,0.43710121122781737,0.5507658018828535
24,0.2597376895154598,0.3216325370311266,0.31233209664568906,0.1481540814943126,0.1492972742206148,0.2476459332010032,0.4453100201077293,0.5561085332253902
25,0.2601979255266182,0.31850315418186387,0.315493923505367,0.14669004886227388,0.14878078594509891,0.23908157594336077,0.4569965335222704,0.5594177886522468
26,0.25344244497632074,0.30747104123605584,0.36067260204326157,0.12645323396841837,0.1307084317566009,0.16466546039797617,0.44921297880887145,0.5533651687254069
27,0.25164666214383224,0.30887404996293377,0.33864497223800216,0.12943100865077006,0.1340893062251576,0.1758641275249903,0.4585970377778883,0.5569931267316908
28,0.24715764804641188,0.3804166370774182,0.24024422070352247,0.10926049868843264,0.11447292514611743,0.12413399145420759,0.436176570652152,0.6217032496032134
29,0.24317115944535544,0.42020893095424017,0.21322931283894248,0.10123792881299962,0.10791757372822987,0.10985386214423759,0.39377314212215125,0.6310424660690808
30,0.229853505413211,0.3250471910762397,0.25614550121068913,0.11508881264856674,0.12003942853173674,0.14205135455463533,0.46459830150078085,0.6350711756065436
31,0.237836889666929,0.26350106916354404,0.32155802193458455,0.12328314765454892,0.12823187196458105,0.1758689561994213,0.48985355785729917,0.6343638803372598
32,0.2312960713530676,0.25656963493285223,0.31088859397611435,0.1192067259549012,0.12529713113592275,0.1673928291456282,0.5358329023976789,0.6330253786165274
33,0.2268673586343489,0.25376801538209043,0.3075056979520461,0.11722605983991254,0.12193601395497675,0.15919176753594408,0.5560450415905724,0.6551442184835876
34,0.22335854186563148,0.2566956503770648,0.29146418044047767,0.11345321401804023,0.11918993390023826,0.14652554462596135,0.5691243465355036,0.6630222729981896
35,0.22153695651605865,0.26090344597159315,0.280510495557377,0.11176316964833986,0.1157757446001553,0.13888393419315723,0.5761633295516216,0.6639240925453478
36,0.21994912366075145,0.2561661328904569,0.27671916084592035,0.11036831711919645,0.11472368312262028,0.1365893796330936,0.5752608072823807,0.6686576232805237
37,0.21429937607471317,0.2430051290497996,0.27360504851827094,0.10943215038849077,0.11362702040797085,0.1367308410070872,0.5726344420713376,0.6619630471808979
38,0.21050866074776609,0.2298797480864859,0.2679763884508485,0.10793791195148314,0.11200241676154087,0.13333530218014153,0.5657067113854664,0.6629011781649616
39,0.21264372095204476,0.1518179473060374,0.23799911540867796,0.09910906677243417,0.10715538130867894,0.1299157812299911,0.5422152447406485,0.6275619310321685
40,0.2201146706475949,0.1452003435633061,0.22895637759684084,0.09814643282814066,0.10500006523885647,0.126595166744403,0.5427583355976866,0.6328739478697852
41,0.231523368992963,0.14019842374676075,0.21949050535849204,0.0979857180678877,0.10378986616133089,0.1231345951210415,0.5600906148788554,0.6662322509457842
42,0.2310791278336006,0.14130682420514742,0.21956563461168957,0.09707772823210369,0.10437998172168213,0.121087443553568,0.5522498189283944,0.690971625931346
43,0.23652678508035227,0.1418265386832936,0.2205393795406756,0.09689471993131797,0.1049234446850976,0.12089018137620035,0.5558754590670527,0.6970410483739536
44,0.2221019091685688,0.15305271452296504,0.27251103472176036,0.11080684101100989,0.11324141423238754,0.29082203066652323,0.6141690367888425,0.4708644669487235
45,0.22406626848835828,0.16507439336616767,0.2651243980108795,0.1084402895114513,0.11306036915174118,0.2177786906489866,0.6135652364154245,0.49626652669324023
46,0.22573009912790437,0.17943242827264114,0.25278809625244153,0.11027231125250925,0.11643481293461164,0.2222695849460034,0.6328519348374088,0.5325028131050232
47,0.2310073122073404,0.18521840480261692,0.2671339607823254,0.11346036440913117,0.11527289611494175,0.23374897830656155,0.6384620809278195,0.5372478664864941
48,0.22185931214291316,0.18491890957414692,0.27146884205110944,0.11261331343074037,0.11731438048913337,0.23288768901089718,0.6182599923371713,0.538615729304974
49,0.23369904170931297,0.1956387839478016,0.2820749122885849,0.11528561649055971,0.11963035414625697,0.24415528611555928,0.6457772104486501,0.5695493440670755
50,0.23187713656989462,0.1982271385839056,0.2811363699035363,0.11369746107101021,0.11862213120796855,0.2408619943061902,0.6346142564742133,0.5781624793685752
51,0.23462600822773855,0.196287847942464,0.2843187039647259,0.11214453030620258,0.11852011318239952,0.23901539552835474,0.6425853193877771,0.575205304237557
52,0.23418031421778124,0.20071142831313984,0.28080449786538125,0.1115378318622221,0.11903605513605614,0.2277799966032421,0.649129817127308,0.5847049120287062
53,0.2348881379110842,0.19937798100540569,0.2819401320456969,0.11089028253521249,0.11824193472856304,0.22798672174139165,0.6529671563251408,0.5804620775732394
54,0.23474963550690367,0.19890958608909892,0.2800283839967873,0.11008111254779704,0.1172978292245147,0.226176548688276,0.6541225697966417,0.5760463957583837
