,HEBT:XCB0:CUR,HEBT:YCB0:CUR,HEBT:XCB2:CUR,HEBT:YCB2:CUR,HEBT:XCB5:CUR,HEBT:YCB5:CUR,HEBT:XCB8:CUR,HEBT:YCB8:CUR,HEBT:XCB10:CUR,HEBT:YCB10:CUR,HEBT:XCB12:CUR,HEBT:YCB12:CUR,HEBT2:XCB2:CUR,HEBT2:YCB2:CUR
10,0.3255164648604927,0.3302389608113715,0.3336963985843435,0.33249254330338807,0.3345126755751816,0.3272589148294255,0.3316976532618756,0.32624974885110647,0.3368793039957258,0.33455960261619205,0.33200663834286676,0.33275547379179243,0.33661284435877104,0.32912910209011936
11,0.32415765397462015,0.32956323543375265,0.3335406941811027,0.33218975953605634,0.33461644494570475,0.3261081141508919,0.3312762727385997,0.3251162870436364,0.33728361742506163,0.3342699740359314,0.33161037723170445,0.3324407920541365,0.33690900055962913,0.32861830561794686
12,0.32333801263718576,0.3290666025334773,0.33350961606896096,0.33192323327770396,0.33459462515456684,0.3254401284964547,0.33100571157621556,0.32426844482682593,0.3377257798755138,0.3343039408467658,0.33123356251270064,0.332243302924898,0.33701382065576835,0.3288403757629674
13,0.32256708760639097,0.3285823930531239,0.3334135422407824,0.3316345602192654,0.3345318239336733,0.32478119249068205,0.3306975114871226,0.323543950086289,0.33802590176933045,0.3342282459911793,0.33086494707250796,0.33200303969672806,0.33704867085519546,0.32891197988887355
14,0.3218654752135329,0.32810357883833174,0.33332676336358286,0.33134161761085457,0.33445034810889596,0.3241788942798471,0.3304127174626776,0.3228305060010367,0.3383175022831623,0.3341689651120341,0.3304803156231774,0.3317654431072229,0.3370408359572274,0.32907358554275107
15,0.3209872594751449,0.32749849901821165,0.33307935349977696,0.331012549948155,0.3344347336729398,0.32339069975899337,0.3300779121626942,0.3220157781175137,0.338414184712127,0.3336517621919576,0.33006310789787585,0.33136139075349125,0.33700233759050036,0.32876997219471527
16,0.3202684856606603,0.32696576262782684,0.3329168827156329,0.33069033176229423,0.33436482180656857,0.32274549524180773,0.32977006909882517,0.32129227005249594,0.3386218564808052,0.33337734526039653,0.32965264005726985,0.331044489615535,0.3369480932253497,0.3287995991092522
17,0.32045680186906667,0.32673018438657686,0.33352931239743383,0.3303889505638938,0.3326177512600592,0.3233280487620729,0.32984133852621983,0.3214220563250422,0.33980319822890737,0.3348000792848378,0.32969096965113676,0.33172643355355813,0.33721762206248074,0.33139669932128296
18,0.3202145772872098,0.3261960072921115,0.33408927817809947,0.3300765174354871,0.33042215340767644,0.32388104533666073,0.3288900356972347,0.32183830153341497,0.3403671059577237,0.3363613275362484,0.32966735499069294,0.33197764024332255,0.3372067229897484,0.3321618133424098
19,0.32078079766561174,0.3265307084619704,0.33480335154216634,0.32949435229706675,0.32742285178757063,0.3238764478975552,0.3276368845368639,0.3216327830603508,0.34130152146729625,0.33742170329751375,0.3298175099130227,0.3324595729927331,0.3375178479627895,0.33434254050910406
20,0.31951330779520726,0.3265385157907585,0.33483742089566215,0.3292253439042024,0.32783293481189707,0.32394978583150097,0.32547176707218267,0.3214840087081789,0.3421564465757605,0.3382664327751199,0.3298175419143538,0.3327692112759092,0.33765654800111605,0.3354522579270656
21,0.319217237707728,0.3263144848209341,0.33492419724948985,0.32913506758378397,0.3279192724521598,0.32379779719875273,0.3254440779399755,0.32112319778760057,0.3423955717119881,0.33852920262271424,0.32962342330507727,0.33276072260936274,0.3376641293073641,0.3359993833809889
22,0.31906948865697055,0.32615903231436394,0.33492812921297715,0.32903764540520564,0.32776578532119105,0.32371028350353176,0.32544760988336263,0.3209464691961664,0.3427204919094962,0.3387942083682862,0.3294716953562159,0.3326083928134501,0.337554534561776,0.33640848366887754
