,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
11,1.7431640625e-06,1.7431640625e-06,1.7431640625e-06,1.7431640625e-06,3.9062499999999997e-08,3.9062499999999997e-08,3.9062499999999997e-08,3.9062499999999997e-08,3.9062499999999997e-08,3.9062499999999997e-08,3.9062499999999997e-08,3.9062499999999997e-08,3.9062499999999997e-08,3.9062499999999997e-08,3.9062499999999997e-08,3.9062499999999997e-08,3.9062499999999997e-08,3.2226562499999996e-08,3.2226562499999996e-08,3.2226562499999996e-08
12,3.2226562499999996e-08,3.2226562499999996e-08,6.54296875e-09,6.54296875e-09,6.54296875e-09,6.54296875e-09,6.54296875e-09,6.54296875e-09,6.54296875e-09,6.54296875e-09,6.54296875e-09,6.54296875e-09,6.54296875e-09,6.54296875e-09,6.54296875e-09,6.3808593750000004e-09,6.3808593750000004e-09,6.3808593750000004e-09,6.3808593750000004e-09,6.3808593750000004e-09
13,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,3.298388671875e-08,8.789062500000001e-10,8.789062500000001e-10,8.789062500000001e-10,8.789062500000001e-10,8.789062500000001e-10,8.789062500000001e-10,8.789062500000001e-10,8.789062500000001e-10
14,8.759765625e-10,8.759765625e-10,8.759765625e-10,8.759765625e-10,7.797851562500001e-10,7.797851562500001e-10,7.797851562500001e-10,7.797851562500001e-10,7.797851562500001e-10,7.797851562500001e-10,7.797851562500001e-10,7.797851562500001e-10,7.797851562500001e-10,7.797851562500001e-10,7.797851562500001e-10,7.797851562500001e-10,7.7880859375e-10,7.7880859375e-10,7.7880859375e-10,7.7880859375e-10
15,7.827148437500001e-10,7.827148437500001e-10,7.827148437500001e-10,7.827148437500001e-10,7.827148437500001e-10,-5.76171875e-11,-5.76171875e-11,-5.76171875e-11,-5.76171875e-11,-5.76171875e-11,-5.76171875e-11,-5.76171875e-11,-5.76171875e-11,-5.76171875e-11,-5.76171875e-11,-5.76171875e-11,-5.76171875e-11,-5.76171875e-11,9.9951171875e-10,9.9951171875e-10
16,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08,9.995117187500001e-08,4.8828125e-10,4.8828125e-10,4.8828125e-10,4.8828125e-10,4.8828125e-10,4.8828125e-10,4.8828125e-10,4.8828125e-10,4.8828125e-10,4.8828125e-10,4.8828125e-10,4.8828125e-10,4.8828125e-10,1.46484375e-10
17,8.056640625e-11,8.056640625e-11,8.056640625e-11,8.056640625e-11,-1.9091796875e-10,-1.9091796875e-10,-1.9091796875e-10,-1.9091796875e-10,-1.9091796875e-10,-1.9091796875e-10,-1.9091796875e-10,-1.9091796875e-10,-1.9091796875e-10,-1.9091796875e-10,-1.9091796875e-10,-1.9091796875e-10,-1.9091796875e-10,-1.9091796875e-10,9.9951171875e-10,9.9951171875e-10
18,6.3037109375e-07,6.3037109375e-07,6.3037109375e-07,6.3037109375e-07,6.3037109375e-07,6.3037109375e-07,6.3037109375e-07,6.3037109375e-07,6.3037109375e-07,6.3037109375e-07,4.8828125e-10,4.8828125e-10,4.8828125e-10,4.8828125e-10,4.8828125e-10,4.8828125e-10,4.8828125e-10,4.8828125e-10,4.8828125e-10,4.8828125e-10
19,3.9013671875e-10,3.9013671875e-10,3.9013671875e-10,3.9013671875e-10,3.9013671875e-10,3.9013671875e-10,3.9013671875e-10,3.9013671875e-10,3.9013671875e-10,3.9013671875e-10,3.9013671875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10
20,9.995117187499999e-07,9.995117187499999e-07,9.995117187499999e-07,9.995117187499999e-07,9.995117187499999e-07,9.995117187499999e-07,9.995117187499999e-07,4.8828124999999996e-09,4.8828124999999996e-09,4.8828124999999996e-09,4.8828124999999996e-09,4.8828124999999996e-09,4.8828124999999996e-09,4.8828124999999996e-09,4.8828124999999996e-09,4.8828124999999996e-09,4.8828124999999996e-09,4.8828124999999996e-09,4.8828124999999996e-09,4.8828124999999996e-09
21,1.0634765625e-09,1.0634765625e-09,1.0634765625e-09,1.0634765625e-09,1.0634765625e-09,1.0634765625e-09,7.250976562500001e-10,7.250976562500001e-10,7.250976562500001e-10,7.250976562500001e-10,7.250976562500001e-10,7.250976562500001e-10,7.250976562500001e-10,7.250976562500001e-10,7.250976562500001e-10,7.250976562500001e-10,7.250976562500001e-10,7.250976562500001e-10,7.250976562500001e-10,7.2802734375e-10
22,-1.54296875e-10,-1.54296875e-10,-1.54296875e-10,-1.54296875e-10,-1.54296875e-10,-1.54296875e-10,-1.54296875e-10,-1.54296875e-10,-1.54296875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10,9.9951171875e-10
23,1.0644531250000001e-10,1.0644531250000001e-10,1.0644531250000001e-10,1.0644531250000001e-10,1.0644531250000001e-10,1.0644531250000001e-10,-2.5732421875e-10,-2.5732421875e-10,-2.5732421875e-10,-2.5732421875e-10,-2.5732421875e-10,-2.5732421875e-10,-2.5732421875e-10,-2.5732421875e-10,-2.5732421875e-10,-2.5732421875e-10,-2.5732421875e-10,-2.5732421875e-10,-2.5732421875e-10,9.9951171875e-10
24,9.995117187499999e-07,9.995117187499999e-07,4.8828124999999996e-09,4.8828124999999996e-09,4.8828124999999996e-09,4.8828124999999996e-09,4.8828124999999996e-09,4.8828124999999996e-09,4.8828124999999996e-09,4.8828124999999996e-09,4.8828124999999996e-09,4.8828124999999996e-09,4.8828124999999996e-09,4.8828124999999996e-09,4.8828124999999996e-09,4.8828125e-10,4.8828125e-10,4.8828125e-10,4.8828125e-10,4.8828125e-10
