,HEBT:XCB2:CUR,HEBT:YCB2:CUR,HEBT:XCB5:CUR,HEBT:YCB5:CUR,HEBT:XCB8:CUR,HEBT:YCB8:CUR
19,0.323916220319391,0.3338663426896857,0.32816580190015454,0.3273187537682889,0.2615086980661197,0.29509922171554603
20,0.32356138950452085,0.3333576559512731,0.32773917659335045,0.32705683391244605,0.26177723484709936,0.29475309251142817
21,0.32328389124802626,0.3329268744117707,0.3273714014758502,0.32672320118349707,0.2619478870086561,0.2947999971855556
22,0.3229982804664334,0.332515823682374,0.32701861853308184,0.3264235010690995,0.2621158593128034,0.29474737024103126
23,0.322762468989363,0.3321464088564451,0.32671168206432344,0.32615837752943805,0.2622857387636997,0.29468523364305754
24,0.32240670635602253,0.3316473909538333,0.32645693779907664,0.32581065034066187,0.26262365466382137,0.2945240342353995
25,0.32216317472159645,0.33125071979576703,0.32606312455554953,0.3255304200271706,0.262870942893383,0.29445027862325357
26,0.32196346734838294,0.3309546803888761,0.3258087691821372,0.3253077133450852,0.2630035229710161,0.2944103124927138
27,0.3216681722475995,0.33063061493056556,0.3255042362649325,0.3250699830109007,0.2631300708165178,0.29427190502137573
28,0.32147099802138707,0.33035297989672396,0.32525904851527343,0.3248473987664043,0.2630813840223731,0.2942846792311351
29,0.3212295597268003,0.3300260246910533,0.3249843863014388,0.3245721219078998,0.2631223800350357,0.2942453552503348
30,0.32087312738029206,0.32956781117763817,0.32485188615021143,0.3242039822123015,0.2633521478466548,0.29439572926427005
31,0.3206425637119806,0.32931059594892936,0.3246068730309851,0.32400410146045955,0.263366760032353,0.29433581845369405
32,0.32046839589836656,0.32913744792806676,0.3244373605209339,0.3239025090103569,0.2635694422943847,0.29415296520449635
33,0.3203069855374824,0.3288899478236458,0.32423182664047034,0.32371806496098127,0.2635880988074628,0.29414187978848605
34,0.32017507970385284,0.32872432305973004,0.32407814794822354,0.3236051895615863,0.26371421332028433,0.29409058407416183
35,0.3200235692452313,0.32853635485275556,0.32390810630460065,0.3234656052148063,0.26377869723723224,0.29404630645805735
36,0.3198833329104314,0.32835130811713076,0.3237308920712071,0.3233128181902503,0.2638276190622994,0.29402911999243625
37,0.3198646992214344,0.32794444639708076,0.32365782509475993,0.32287529227226053,0.26407160726350576,0.29384030976646563
38,0.31974899743481117,0.3278233124296952,0.32352810681389477,0.3228027777331478,0.2641944171501389,0.29380184156733524
39,0.31967772617448875,0.3275781617246657,0.32334107080936714,0.3226119505558337,0.2642255330298055,0.29389236923190537
40,0.31958872374565506,0.32740177997627434,0.32319237609362866,0.32248993146635013,0.26432470379448836,0.2938853792762474
41,0.3195495521204791,0.32731948060188143,0.32309548296332125,0.3224357804315179,0.26444419296077354,0.2938457212360837
42,0.3193836147776565,0.32730022594060465,0.3230009940524506,0.32245125908293215,0.2647039889835809,0.2935422327162066
43,0.31928629215774273,0.3271873271751804,0.32287472863746725,0.3223142035025001,0.2648635952241942,0.29340097655141023
44,0.3192213262967702,0.32705798400747477,0.32276663783788956,0.3222339016825918,0.2649156045352168,0.29340221897066987
45,0.319114928410406,0.32689226658709636,0.32263948072849113,0.32209817853507555,0.26487887695804135,0.29340344736495083
46,0.31903325351260275,0.32674190257999064,0.32251840474725313,0.3219962847334774,0.2648893125008839,0.2934320944750311
47,0.31894687946879907,0.3266393454359971,0.322425385594841,0.32192990541512134,0.26494547564575355,0.2933986534855072
