,MEBT:XCB5:CUR,MEBT:YCB5:CUR,MEBT:YCB7A:CUR,MEBT:YCB7B:CUR,MEBT:XCB9:CUR,MEBT:YCB9:CUR,MEBT:YCB11:CUR,MEBT:XCB12:CUR
50,0.08420555588478372,0.06909390071082859,0.7587346733033136,0.8356220525178177,0.8789769071015325,0.7272568097734078,0.8403893143543049,0.7135737230538945
51,0.08417033808920188,0.06927534268134689,0.7634274839213168,0.8366294720016776,0.8497266652924615,0.7402244066049569,0.8520174442976474,0.7298505032540452
52,0.08408393482590697,0.06936611436453528,0.7664218894629272,0.8385064491554504,0.8539148202762378,0.7434297018067519,0.8535089736649093,0.7481168175763786
53,0.08390998259130694,0.06946088513778961,0.769284635653347,0.8417347680995503,0.8591489049616751,0.7455395011592534,0.8566544559033824,0.7508081139607796
54,0.08388420639813599,0.06986309451659266,0.7713881218649202,0.8445170816433359,0.8688952712734623,0.7455905580914882,0.8611920454397547,0.7494558242185217
55,0.08340758889549314,0.06979698244674988,0.7754145546773061,0.8481882274457542,0.8730339813656282,0.7475122727134286,0.8612217427937168,0.7540010598739851
56,0.0834196579783694,0.06989798028197827,0.7808066079140398,0.8599693821153536,0.881191048151924,0.7597855028054461,0.869500803776425,0.7596611280104038
57,0.08292408398299911,0.06986738461731311,0.7930231408701984,0.8618462526110565,0.8837877984029427,0.7585527894265833,0.8731384857136697,0.7594619254376141
58,0.0824270658259973,0.0697568288698093,0.7938217852875364,0.8609364056592217,0.9003161508802973,0.7650677709274478,0.8810490694040449,0.7559359555398042
59,0.08216687174184933,0.06968881741701613,0.7971385777796443,0.8642428292081739,0.904359825766934,0.7698564175672054,0.8830669770579533,0.7612224413829848
60,0.08182438843187054,0.06982007808368049,0.8001697551077549,0.8685993752341298,0.9081030470810778,0.7720676511631692,0.884338938116485,0.7600813756721799
61,0.08300950618622673,0.0694165029682849,0.8245326173072303,0.8855831451810027,0.9199393255357404,0.7813844279838889,0.8861800557197674,0.7883536313994203
62,0.08313854840151451,0.06929173592140957,0.8310106119234346,0.8899542639659899,0.9198887731954836,0.6913389253662011,0.8804577031557398,0.7816606296789753
63,0.0870648081236354,0.06849963178403347,0.8034117083121632,0.7997246446442018,0.8923734069180189,0.7641780475611882,0.6808896046803335,0.7679797325778822
64,0.09097713478602232,0.07003989366304249,0.8103091945263727,0.8287839319059656,0.8548305624833438,0.6260480252987511,0.7256862740474616,0.7149194538664169
65,0.09088815728298295,0.06952857067177627,0.7479089447280316,0.8347507129026734,0.8662299167265249,0.6371012592092723,0.7263840500097127,0.7223710661813062
