,HEBT2:XCB2:CUR,HEBT2:YCB2:CUR,HEBT2:XCB4:CUR,HEBT2:YCB4:CUR,HEBT2:Q5:CUR,HEBT2:Q6:CUR,HEBT2:XCB6:CUR,HEBT2:YCB6:CUR,HEBT2:Q7:CUR,DRA:Q1:CUR,DRA:Q2:CUR
48,0.03927969316199248,0.3561992316440132,0.08354427142197703,0.4637459423808701,0.15591782234408014,0.106599659424316,0.04021035127087892,0.4457602734810476,0.5944220244660641,0.43057378435469135,0.46501529169126815
49,0.03947074077607785,0.35475925361142535,0.08289389900785658,0.46362798132556593,0.1595843599316211,0.10708752632424644,0.04035840939860918,0.44761687978444326,0.6034446426054877,0.4322049127032299,0.46564154188590545
50,0.039626774557517126,0.3572273044462397,0.08257118115558158,0.4617370480067149,0.15998300084216732,0.10886920465691896,0.03990584437076593,0.44011537595638134,0.6096117373651982,0.43137870742059714,0.46602975159862603
51,0.03986242937590671,0.3685532002554418,0.08222562603421064,0.4597852123208699,0.16962241613672085,0.1077808116134562,0.039501205034139064,0.44218191405116214,0.6217632924408493,0.43343052128430254,0.46896365529267375
52,0.040238129453805255,0.36265367049265307,0.08394896408638085,0.4699744479043949,0.14614451865266678,0.11395168969502045,0.039544924788690365,0.41922061343263295,0.6089411009344448,0.3680873813974078,0.4584504742530189
53,0.04007380992844968,0.3588081999917022,0.08413404071769817,0.47555443598531655,0.14669936610616838,0.11326821760593823,0.03955279460403274,0.41905182831397697,0.6254077572441943,0.37316446896154565,0.47868201734455057
54,0.03984321631381438,0.3564753149616921,0.08477867541968248,0.4819535222707708,0.1447901418570401,0.11283561918696419,0.03979314098727238,0.4185174805377859,0.6292178043872394,0.3700912601720567,0.5064679283953952
55,0.03999676386682317,0.351234302021745,0.0857902144266266,0.4982371784900875,0.14187462200052564,0.11270959553967355,0.040305983064164365,0.42165032013017784,0.6165877278057225,0.3514379478019874,0.514466268207854
56,0.03947193309395075,0.34501562819298937,0.0865951217997662,0.5359301672463918,0.13945393868035277,0.11138516096597817,0.04044557392966302,0.42219726896713705,0.6298613457378299,0.3514438950174764,0.5358495694201308
57,0.04000308127253501,0.35388744714699494,0.08500479585571989,0.5448190305603249,0.14644139008405432,0.11167129280174917,0.04012952772456307,0.423894444818272,0.6319430354077955,0.32300319694603213,0.5472163320683144
58,0.0408357686719536,0.37204130242061884,0.08440658705479877,0.5312293162437958,0.16011344904613894,0.11154075369851946,0.039482264440580686,0.42728869864297225,0.6394836489935487,0.3272263938896577,0.5156200618487314
59,0.04061606592480358,0.37584814406199946,0.08562727028980022,0.5393164493153086,0.1583401776111329,0.11098997739209641,0.03954970911730063,0.4258382419676988,0.6524107944650683,0.3197962923058195,0.5227754907966691
60,0.04050719451155014,0.3663504052623181,0.0856065286978969,0.5526340636051945,0.15819232134986244,0.11091973581704452,0.03957539693804483,0.4231989862940705,0.6490680977334304,0.3514572217276878,0.5252307795290305
61,0.040332235091013476,0.36285982980993375,0.08576216943675785,0.5692574542843405,0.15896393631386024,0.11051540496682183,0.03949960442021677,0.447345740277856,0.6533158099325901,0.3444039885118113,0.5282540470678281
62,0.04081884498123526,0.37963533709656233,0.08570177399480242,0.5613934153298904,0.16932486886464818,0.11142395847990738,0.03877155734506911,0.4498527616320307,0.6622458945249812,0.337017835222984,0.5166587571918436
63,0.04096938116663956,0.38003339390649976,0.08527085343691543,0.5579963812626767,0.17177004688285127,0.11131196066398667,0.038910649639136714,0.45041173633582776,0.6671194609148512,0.32670359755974143,0.5245508666310965
64,0.041864851598210295,0.3760515223171708,0.08499065253948417,0.5599920556073936,0.17277205830293413,0.11183566323894253,0.03865622493668083,0.45019487095142874,0.6595281188138897,0.3506259502250029,0.5176184846861323
65,0.04165673965517967,0.38829784542869,0.085223625898639,0.5712721203003623,0.1718474232029931,0.11111553794560136,0.03908491405773063,0.4493359858350205,0.6687479718988427,0.35055436014865393,0.5133874200711206
66,0.04219919440481426,0.39031327732218396,0.08532708615109012,0.5654223563639662,0.1737464534192714,0.11317523362735549,0.038780787864748895,0.45256249194550396,0.673215937259953,0.35393655613062525,0.5154994436081981
67,0.04268513251910982,0.42819484324040025,0.08476358311850311,0.5744038430651717,0.1802893254743902,0.11475948915853258,0.038239493048334204,0.47006291170265285,0.6140378030265071,0.31372814164294954,0.536087276092756
68,0.04255556495794501,0.4271879916999443,0.08520566851794122,0.5897452363919332,0.17709884509087548,0.11507118081603754,0.03814052218844492,0.45858184387088174,0.6263701725132189,0.3367198949346176,0.516732993987343
69,0.04230424179611373,0.46736232857569504,0.08482893956870158,0.5950696959452823,0.17998149556656406,0.11440923657070687,0.03806429135613154,0.4479627887218911,0.6237817506364196,0.3515091563641523,0.5096720587393637
70,0.04222671194342386,0.4733713236606416,0.0848631293702148,0.597631664421413,0.17911563362074165,0.11380217565316761,0.03853669950270902,0.44447907325000985,0.6211146977270743,0.3487175642980289,0.5078408243289347
