,HEBT:XCB12:CUR,HEBT:YCB12:CUR,HEBT2:XCB2:CUR,HEBT2:YCB2:CUR
64,0.10691006535272043,0.08483483412051761,0.2390491544097058,0.4279988217915939
65,0.10478894787464772,0.08314351254979345,0.23809859945361067,0.42359149917565314
66,0.10631461424229033,0.0852147301579223,0.2413352869544507,0.429839750639795
67,0.11110142785706599,0.08601682714713361,0.2521166142864579,0.4487510539926174
68,0.1083410988178904,0.08308672217966842,0.25315730686690396,0.43957809755857385
69,0.10780871350975468,0.08325404299212878,0.2526395278793377,0.4415512709310494
70,0.11227616093959217,0.08632911188271905,0.2543127130954209,0.44794665700498204
71,0.1126156235668372,0.08674760121650583,0.2537560490245217,0.4491028957405905
72,0.11718746666309832,0.08877006220198833,0.2587435684310921,0.4570944228576216
73,0.11676076445956882,0.08834872324623745,0.257585836856994,0.45642795298922734
74,0.11677127899414187,0.08820086911187248,0.25939701657746256,0.45359313389181594
75,0.11571726367853231,0.087779351571012,0.2580707905527156,0.4535498866768546
76,0.11729883495376878,0.08815539521393385,0.25952693949056116,0.45636347451736275
77,0.11623996057404283,0.08889314546145524,0.259009067551933,0.45757680257464883
78,0.11518291722722263,0.08843789270758665,0.25774008840218127,0.45727000180593547
79,0.12011773343768296,0.09034655133890887,0.26259403045002466,0.4625684280597187
