,MEBT:XCB5:CUR,MEBT:YCB5:CUR,MEBT:Q6:CUR,MEBT:Q7:CUR,MEBT:YCB7A:CUR,MEBT:YCB7B:CUR,MEBT:Q8:CUR,MEBT:Q9:CUR
38,0.06378899747123956,0.11015493362110529,0.3477792456795749,0.10244000171918582,0.5814520750648735,0.6543200032561562,0.19432496840577693,0.10820677794084768
39,0.06534460867199712,0.10764125443679146,0.33182618627650873,0.10345059230217525,0.6113424487910228,0.6302927853274808,0.22724827965212013,0.10431400258929127
40,0.06380170341111367,0.10810683385342161,0.34422312878240824,0.10369673182984547,0.6175457981912308,0.6177773481494522,0.24798718290629176,0.10310275242767883
41,0.06345254324824408,0.10851529984854723,0.3455985699439217,0.10352402247482312,0.6194159219387412,0.6257644555191884,0.24605335497838995,0.10322836961538429
42,0.06334506796247708,0.10839877665918932,0.34185265459745323,0.10300877391495945,0.6295355862534175,0.627000151321304,0.24486035133188247,0.10263928504877505
43,0.06321793419002979,0.10859854709110633,0.340401008377488,0.10270119321024127,0.6318246481522779,0.6305873537834263,0.2419577835507684,0.10238087612244878
44,0.06300846809626642,0.10883595763515892,0.3387900069294954,0.10236496580687188,0.6344309260030789,0.6350612193874055,0.2388625556506116,0.10209908975021459
45,0.06362963843655844,0.10800691283376099,0.3550650230377245,0.10447534145184817,0.6446565110197348,0.6516027928221083,0.25464946288659807,0.10269492486628636
46,0.06337301820959684,0.10860012151737508,0.35284397324979816,0.10439936251891282,0.6443353636840061,0.6579570376466972,0.24611632680036546,0.1030367886950474
47,0.06375103337863722,0.10755665601738361,0.3573255519428431,0.1038128891675402,0.6598742935690466,0.6654314632505087,0.26016365392653334,0.10123972908755557
48,0.06419297692957887,0.10670614957648254,0.3538324506239104,0.10358600870989167,0.6566098175334315,0.6658977917703931,0.2619809463426622,0.10080551758991287
49,0.0641794738588978,0.10667956303165953,0.3521611588648757,0.10325742446216406,0.6604920549267932,0.6678720944064467,0.26053956229088726,0.1004182562793925
50,0.06367338511861564,0.10799289183769628,0.3499425508998647,0.10311172955786276,0.6562380434641063,0.688859722234496,0.2423624396186294,0.10088750177712658
51,0.06388084195835537,0.10859986502726846,0.34630043607076716,0.103317170094632,0.6557123129129034,0.7162988274117171,0.23189269332185247,0.10172480429621972
52,0.0632004696587177,0.11005684416287384,0.34499369087635845,0.1027673189674663,0.6548086360604229,0.7344732684254067,0.21993429604090267,0.10196925597052175
53,0.06395579392122845,0.10839791070727081,0.345923001157461,0.10303976778892822,0.6532159359887217,0.7144415399077549,0.23203517911411758,0.10121960885446395
54,0.06469708231096329,0.1076855707340766,0.34882099739852507,0.10284388241500221,0.653782738846441,0.711694185377691,0.230426949005332,0.10103972257112144
55,0.06453326015857544,0.10785547029946999,0.3482354773225482,0.10251309385147224,0.6518962829879417,0.7255407075966483,0.22668330977936044,0.10095636457103085
56,0.06468450081160262,0.10739127074941994,0.34871532542035116,0.10250878011776945,0.6428368336060412,0.7271416875928943,0.23090811357840613,0.10062246968431533
57,0.0647859394463981,0.10662757552698755,0.34727605946713525,0.10210462671867175,0.6436390030067676,0.7316101977214876,0.23318612531759167,0.10015390638956406
58,0.06477403250772348,0.10691215150286733,0.34550669981365784,0.10200023642685574,0.6470792549466204,0.7364872869551076,0.2316408148993458,0.1000731175515707
