,MEBT:XCB1:CUR,MEBT:YCB1:CUR,MEBT:XCB3:CUR,MEBT:YCB3:CUR,MEBT:XCB5:CUR,MEBT:YCB5:CUR
43,0.12821601174479139,0.1650849956447964,0.11353771539725056,0.2221560001927793,1.335489717153288,1.0974615423699112
44,0.13004048574479765,0.1746859158761437,0.1220164912915703,0.20950519915179222,1.3601212670930722,1.111182938649613
45,0.1287973621512778,0.1682350381974754,0.12269473805783138,0.21138900153804913,1.4009911240200812,1.158517407153073
46,0.12979973846423262,0.16765278003803405,0.13529144647545177,0.21171141743555283,1.4042778498027404,1.1615070291497647
47,0.13112487398647896,0.17567789750376941,0.11625324983313991,0.2283945466527589,1.3802279291273916,1.1915831944725348
48,0.13001589204896427,0.16683479285622219,0.11352273581336375,0.24545945657861462,1.3906446052806276,1.2050054190494044
49,0.13061868929248416,0.1846705637402905,0.10784133121906081,0.23543706820299692,1.4153543562404596,1.217423259666724
50,0.1315334597421243,0.1915316528845516,0.10554010527159988,0.2304931337286117,1.4228585334496278,1.245037260451256
51,0.13446198356206007,0.18785507669807178,0.11100827943166228,0.22793776056011514,1.4287084270082775,1.2696844518852493
52,0.1506296327007665,0.16838731133818133,0.18401460527089766,0.18038721059754953,1.436200365887346,1.127192177406433
53,0.14991954027291837,0.16613045802548104,0.1824830170367353,0.18063048632329545,1.4361783397791457,1.1370300807143505
54,0.15006803399181953,0.1672216437865109,0.188993285276313,0.180370434273725,1.4453849839024548,1.1388996281658135
55,0.15162579098799392,0.16978379796917933,0.1892187959090641,0.18208422533299617,1.4449401590520812,1.1263878837589703
56,0.1491326530912727,0.15823538651497895,0.18627578872279263,0.1845878822816975,1.5006142176879183,1.07841514368735
57,0.14890884800027504,0.1573937142845149,0.186794422136925,0.18459586417908047,1.5037466888914135,1.0972399354402902
58,0.15020232900389016,0.1577497369907171,0.18459380219018418,0.18353178625330505,1.53380952951673,1.0964577397414028
59,0.1501754152686975,0.15956821271961708,0.1843021055790341,0.18399145651880938,1.5282199460128458,1.120846709227295
60,0.1488330105423882,0.15541895997613944,0.183261942633644,0.18432418004562975,1.5547945938504242,1.1443454669528228
61,0.14813074878246008,0.15503706963462863,0.18287913932286648,0.18326451447650322,1.6024179734046153,1.1614446407972765
62,0.14890527571888362,0.1575140343213288,0.18314310867599987,0.18305021296796414,1.6126312979438768,1.156075001128462
63,0.1480980688651124,0.14958690698446966,0.18859320230803384,0.18429967771415715,1.6262190999704853,1.2310362527007492
64,0.1503078906081883,0.14777797003489307,0.19011741132886328,0.1855715118591485,1.6412548557444233,1.242469701653
65,0.14965170212722448,0.1448487580079688,0.19067790746019528,0.18708012406561708,1.6471486333615633,1.2768295817881876
66,0.1504042226122237,0.14202988666799363,0.19306916672461794,0.19056711934607876,1.648768864642385,1.3165346326832459
67,0.15199976871850648,0.15432567023945082,0.19214105652135138,0.1871719157869621,1.6407515782676325,1.2521911290097612
68,0.1508560769527162,0.15525298520345088,0.19127514228553275,0.1859944919636181,1.6551219911088775,1.244566991001201
69,0.15548581146257473,0.15769738628564103,0.19071496612336186,0.1857338374819494,1.6512539127295898,1.2454574970133054
70,0.15548246113319072,0.16002490859762042,0.19296216380847134,0.1848195624759051,1.653262209269367,1.235121371889493
71,0.15555579824169896,0.1559630530310882,0.19527261325268624,0.18546917292949353,1.668196944538397,1.3056277271875323
72,0.15479810170538483,0.15055815190606353,0.19505207819566148,0.18731422589204788,1.7229790196186947,1.3405433446867205
73,0.15330601560852336,0.14113655064858763,0.1963651836510566,0.1939263617253043,1.7300969718214507,1.426097931283018
74,0.15224565023738773,0.14027204927007184,0.19795088472014805,0.1936505747948954,1.7394491225485331,1.4453259028311316
75,0.15218062328887338,0.136868429418501,0.2004337286922127,0.19389186775913192,1.7436434846353566,1.51300714403787
76,0.15866040741478796,0.1347996562528081,0.20253356066534248,0.19796021428881594,1.7886541885518037,1.5321472445461917
77,0.18175558851297435,0.3662332762421151,0.3005171142277111,0.1059792599215672,0.4562843220721291,0.4459190895250308
78,0.1613112371569319,0.1332167494926419,0.20194471190441665,0.19833242398037954,1.822459531961591,1.5596523112760328
79,0.16287053205570473,0.13399105867981556,0.2020667802232696,0.19774003000233298,1.841576837013091,1.5780741276346628
