,MEBT:XCB1:CUR,MEBT:YCB1:CUR,MEBT:XCB3:CUR,MEBT:YCB3:CUR,MEBT:XCB5:CUR,MEBT:YCB5:CUR,MEBT:Q6:CUR,MEBT:Q7:CUR,MEBT:YCB7A:CUR,MEBT:YCB7B:CUR,MEBT:Q8:CUR,MEBT:Q9:CUR
37,0.31189741526972525,0.3186472017872321,0.287447431345154,0.31707696800722757,0.30466939101559354,0.3071518291282793,0.34743226122583637,0.29165712800454496,0.31518388597442104,0.29495241552820106,0.3791769441831854,0.33044769836793003
38,0.31189654221282836,0.3177456137750708,0.28650674784109686,0.31882440526960215,0.3046108197023411,0.30745909597505905,0.3475733391041569,0.29044382779397043,0.3158328655589592,0.29368315444100973,0.37930575725632104,0.33120920900352013
39,0.3118352040523487,0.316302322945718,0.28514134247799683,0.32073938939443875,0.3043506354416264,0.30766577356851993,0.34755148236107847,0.2889917011753233,0.3166788322134606,0.2925341549366513,0.37903271515549786,0.33215987935762176
40,0.3116478657047978,0.3146512421454455,0.2833033504647894,0.3223792249192371,0.3038307711375895,0.30768417174472895,0.3473297480938218,0.28759671326994307,0.31735602517666756,0.29148258636354635,0.3787128422996269,0.3328267233854846
41,0.3112221134548785,0.3132005179090464,0.28126312332928854,0.32344893876534875,0.30314994288795316,0.30747445301671017,0.3472015195882787,0.2864232848267924,0.31762398348130394,0.290446734053125,0.37858461388224274,0.3332138810075016
42,0.3106726978119044,0.31147809022579853,0.27849152376924163,0.3243957517576475,0.3023144746466803,0.30708259014120515,0.3469451200924955,0.2851494095147838,0.31782062958545226,0.2895117469888462,0.37826031811819993,0.3334876751051403
43,0.3093076716104085,0.3127351716795201,0.28045151768320825,0.32433784767096835,0.3022237126703487,0.30802070313868335,0.34732829240256,0.2863066966121326,0.3164073508306321,0.2889172749492515,0.37971757270017237,0.33377120192986864
44,0.3105383275255965,0.31602047915002296,0.2785237508047319,0.3184029418108123,0.30551852969103144,0.30524265288370195,0.34630163417859916,0.2883224819527942,0.31866519843952934,0.2883782458863101,0.37957584946592526,0.3327472292551153
45,0.29891879374813946,0.3184090576745386,0.28447979772895116,0.3235932907351039,0.30782757854574383,0.30832094600658455,0.34087703647444373,0.2891812334571017,0.3138361298900593,0.2897611083912158,0.3799706299063452,0.3341520388979416
46,0.2977174653001072,0.31417768985914574,0.2899322099570829,0.32521076936229937,0.30744373927474156,0.3041403960908814,0.3428691098788167,0.29378084359524015,0.315893594969896,0.28988510169572623,0.38232598807961826,0.335719400846371
47,0.29745441497346725,0.31042916364933143,0.28941097327269577,0.3265674744484206,0.3072187541652852,0.3051065869083455,0.3442461685658321,0.28982938595026114,0.315583201616742,0.28890766460195805,0.3838036283155355,0.3347457722793008
48,0.3000939284655821,0.3009953039191121,0.28832662748809623,0.3172545546112745,0.31502977773294516,0.29891083980829647,0.34162292039832853,0.2765126729726473,0.33385587478014955,0.29881728936038476,0.38130146781108887,0.33494173611953826
49,0.2998578005623404,0.2941184569418788,0.28353856268325717,0.3101936160019445,0.3165294540237474,0.2945045874398655,0.34155905738538783,0.2680745637378638,0.3425173545967589,0.304344094070695,0.3810362402166826,0.33486677856360325
50,0.2989631321940742,0.28965070148933825,0.2798787796501104,0.30582907518542146,0.3165255501926197,0.2917519150472933,0.34202606844734174,0.26377878462832877,0.34623750582061985,0.30607271911739087,0.38131752508898054,0.33514905215719415
51,0.297807418890814,0.28456033254783725,0.27505401334997864,0.30119451052916735,0.3156292290012527,0.2889740856831581,0.34208655718204095,0.2594411922875156,0.34933381340706543,0.3084453720366146,0.38130962904275767,0.33482290153833894
52,0.2965021107984259,0.2791049718269722,0.26934213085806646,0.2963652182707321,0.3141817658900705,0.28646662643222204,0.3419927216997868,0.25548253219098305,0.35168871862899453,0.3105611447635241,0.3812296420735248,0.3342801074214325
