,HEBT2:Q7:CUR,HEBT2:Q8:CUR,DRA:Q1:CUR,DRA:Q2:CUR
47,0.19990427016719617,0.29058070558312715,0.43769610058339914,0.8093539857526384
48,0.19744180874246653,0.2876517510857415,0.43371159370302875,0.8339962709246598
49,0.19381248029216638,0.2849125030418402,0.42906642982186055,0.8934198357448375
50,0.18993377330751154,0.28196967823070473,0.4237358554351114,0.9315544084656224
51,0.1949783403277241,0.2827366569935593,0.4159937255335374,0.9171677132069497
52,0.20042285901779955,0.2865015222408135,0.41352445766294715,0.9189804666414233
53,0.20196999572826901,0.2974525339150092,0.4174195681730714,0.8686527279351698
54,0.20163922995632788,0.30861213095746237,0.4215319781988226,0.8308669415141233
55,0.20349288552454714,0.31055156300885156,0.4189381351132457,0.8157265959448585
56,0.20754917496352296,0.31968362983116433,0.42931427513009796,0.7945781040695697
57,0.21014828634736935,0.3200499863901991,0.4272225817525848,0.7904072171847502
58,0.2119489344484494,0.31611245818249767,0.42477278901451826,0.7989472858468348
59,0.21010492240670614,0.3105350201470901,0.42443106942065206,0.7891056765062339
60,0.20924388419567733,0.310804323912395,0.4219954032628408,0.7868919501186179
61,0.2093462007053467,0.31283707744905553,0.4206087844054385,0.7878789225236226
62,0.2151669958195322,0.3207970458493836,0.4284189464033004,0.8061107166254524
63,0.22106349384492938,0.317643166424801,0.4293454582056394,0.8060260254542334
64,0.2389367963405134,0.31388107486753736,0.4281174413668361,0.8027728607749574
65,0.24146024249867942,0.31195746465218804,0.42559117833332727,0.7976346810316074
66,0.24642725017185885,0.31085309273622014,0.4228227737585646,0.793934703299776
67,0.24647186530701137,0.3127145325336573,0.4230228015614958,0.7977705628266801
68,0.24616906347645945,0.31152561384050875,0.4195665867373845,0.7962597612523217
69,0.24506234391332218,0.3124858270838137,0.4195966695133365,0.7945323483094285
70,0.24561702656495554,0.3117436323841587,0.41719104926892214,0.8116962809571576
71,0.2442063607372863,0.3105371439380816,0.41410185560777046,0.8115118049497427
72,0.24297243121590875,0.30997077978504806,0.411740477183909,0.8090619745854913
73,0.24138298029076918,0.3097489462006422,0.4091301682090874,0.8072532915357717
74,0.24033997893536424,0.3102199878776365,0.4076358395320909,0.8075055993406275
75,0.24401632093402498,0.3110839629315947,0.4081236854914976,0.8101789148284692
76,0.2433235331891373,0.3095608507756389,0.4064087577150454,0.8052845162131363
77,0.2420278572309497,0.3099801534406704,0.4053498974876159,0.8048912599415
78,0.24420089932438796,0.31209320225514425,0.40682072839364936,0.8103247802737367
79,0.24503827822591792,0.3106743744466086,0.4032677688462208,0.8061077377741636
80,0.24597967595651962,0.3086272498889447,0.39915965916702895,0.8009772809937601
81,0.24418065399598285,0.3113431700002549,0.4035260998777426,0.8062666208766045
82,0.24642385520133092,0.30134301219024284,0.4069799203191292,0.8228937451029117
83,0.24813560196341325,0.30058721576571523,0.4064662428958043,0.8201008021602664
84,0.2482609359779359,0.3000667219880583,0.4048561795807232,0.8174770407807734
85,0.2489138033318083,0.29923229673480845,0.4041041908508801,0.814256142481373
86,0.24935594013903686,0.2995390811890853,0.40631171473473215,0.8196729152295216
87,0.2492461455186355,0.30059207245779285,0.40611356542069804,0.8232415842820802
88,0.24855711540588765,0.2995342825356697,0.40459746666841945,0.8216599753955488
89,0.24728929914386116,0.3000954365220745,0.40334794405095187,0.8213934992222536
90,0.2470208493759413,0.30071522077828383,0.4033125737115588,0.8246991760157594
