,HEBT:XCB0:CUR,HEBT:YCB0:CUR,HEBT:XCB2:CUR,HEBT:YCB2:CUR
58,0.42041481690804555,0.505886286966072,0.6140092201897565,0.03875247460731334
59,0.4349823997463103,0.48282819301277835,0.5857079504590643,0.038820662355680255
60,0.4315169088633073,0.4870544468138426,0.5871858483651345,0.03845393496970762
61,0.24506634989752984,0.5450306408048301,0.6582996111655851,0.04666483936234686
62,0.14832155860453528,0.4743423189961275,0.36539215493001603,0.08264990226041648
63,0.1500779989454079,0.47249346150822247,0.36338283031477714,0.08218013037963762
64,0.3077916626792342,0.5364803280354647,0.5952980731876087,0.04300252517362446
65,0.30813235924351623,0.5330610678330917,0.6079289328660645,0.0425277043964338
66,0.31746846186631505,0.5337509381616439,0.5975969343577819,0.04230644265601949
67,0.3129019156367913,0.5357172904116628,0.6084465021476335,0.04262711514321246
68,0.3147785227983442,0.540428998909475,0.6120332269024075,0.04293443749382119
69,0.259932452627401,0.5960052080218863,0.6370411762326094,0.04348281018388798
70,0.28603851928086516,0.5952031339505176,0.5730291935942411,0.04344866326632685
71,0.25593922787352197,0.5862774668278321,0.6323029427229371,0.04466196746117629
72,0.2560579246527953,0.5903484418492851,0.623486373378806,0.04554520063725124
73,0.25214389453318714,0.5872418183604553,0.6490476871659683,0.046060741148759105
74,0.28995056357975574,0.6271851049610929,0.4978599647071624,0.05426158161380783
75,0.3556073692158659,0.6525441157306808,0.3173471224053617,0.06100432460595049
76,0.3435059426342869,0.6582098479392144,0.33573304756344047,0.06241945843178651
77,0.3442759905922597,0.66514358359484,0.3405679590355127,0.06246380261044276
78,0.3311717251852018,0.701799442003114,0.33792139311397285,0.06115610642582408
79,0.2126009516700934,0.723367238582748,0.12207346369491466,0.14673326321826846
